token	corpus size	all contexts size	frequency	co-frequency	specificity
propio	38672	15298	24	13	1.24
podemos	38672	15298	24	13	1.24
teorías	38672	15298	15	9	1.24
P	38672	15298	15	9	1.24
son	38672	15298	117	50	1.23
nuestro	38672	15298	29	15	1.21
hay	38672	15298	46	22	1.21
Existe	38672	15298	3	3	1.21
política	38672	15298	3	3	1.21
propiamente	38672	15298	3	3	1.21
fascinante	38672	15298	3	3	1.21
aproximación	38672	15298	3	3	1.21
enorme	38672	15298	3	3	1.21
encontrarse	38672	15298	3	3	1.21
suficiente	38672	15298	3	3	1.21
evitar	38672	15298	3	3	1.21
Palabras	38672	15298	3	3	1.21
orgánica	38672	15298	3	3	1.21
relacionadas	38672	15298	3	3	1.21
juzgar	38672	15298	3	3	1.21
cuántica	38672	15298	3	3	1.21
alterado	38672	15298	3	3	1.21
fluir	38672	15298	3	3	1.21
positivas	38672	15298	3	3	1.21
unificada	38672	15298	3	3	1.21
variedad	38672	15298	3	3	1.21
Jaspers	38672	15298	3	3	1.21
afectada	38672	15298	3	3	1.21
intervienen	38672	15298	3	3	1.21
Política	38672	15298	3	3	1.21
Glasgow	38672	15298	3	3	1.21
respiratoria	38672	15298	3	3	1.21
incluso	38672	15298	13	8	1.21
clave	38672	15298	13	8	1.21
naturaleza	38672	15298	34	17	1.20
al	38672	15298	130	54	1.20
pueden	38672	15298	49	23	1.18
posibilidad	38672	15298	11	7	1.18
aspectos	38672	15298	11	7	1.18
¿Qué	38672	15298	11	7	1.18
mayoría	38672	15298	11	7	1.18
Solms	38672	15298	11	7	1.18
normal	38672	15298	11	7	1.18
comprender	38672	15298	20	11	1.17
cuestión	38672	15298	9	6	1.15
allá	38672	15298	9	6	1.15
sigue	38672	15298	9	6	1.15
neuronales	38672	15298	9	6	1.15
confusión	38672	15298	9	6	1.15
enfermedad	38672	15298	9	6	1.15
estudios	38672	15298	18	10	1.14
posible	38672	15298	18	10	1.14
capacidad	38672	15298	50	23	1.13
manera	38672	15298	50	23	1.13
dicho	38672	15298	5	4	1.13
maneras	38672	15298	5	4	1.13
frente	38672	15298	5	4	1.13
“la	38672	15298	5	4	1.13
debemos	38672	15298	5	4	1.13
PCC	38672	15298	5	4	1.13
especial	38672	15298	5	4	1.13
escala	38672	15298	5	4	1.13
fácil	38672	15298	5	4	1.13
fundamentos	38672	15298	5	4	1.13
funcionamiento	38672	15298	5	4	1.13
relaciona	38672	15298	7	5	1.13
denomina	38672	15298	7	5	1.13
sostiene	38672	15298	7	5	1.13
cualidad	38672	15298	7	5	1.13
central	38672	15298	7	5	1.13
evolución	38672	15298	7	5	1.13
explicación	38672	15298	7	5	1.13
único	38672	15298	7	5	1.13
esencia	38672	15298	7	5	1.13
Alteraciones	38672	15298	7	5	1.13
patología	38672	15298	7	5	1.13
cerebro	38672	15298	61	27	1.11
estados	38672	15298	43	20	1.10
casos	38672	15298	16	9	1.10
tipo	38672	15298	16	9	1.10
Una	38672	15298	16	9	1.10
han	38672	15298	38	18	1.10
decir	38672	15298	46	21	1.08
forma	38672	15298	58	25	1.04
nos	38672	15298	61	26	1.04
esta	38672	15298	64	27	1.04
cual	38672	15298	42	19	1.03
contenido	38672	15298	19	10	1.03
teoría	38672	15298	29	14	1.03
procesos	38672	15298	37	17	1.02
definir	38672	15298	12	7	1.01
medio	38672	15298	12	7	1.01
cognición	38672	15298	12	7	1.01
características	38672	15298	12	7	1.01
ha	38672	15298	66	26	1.00
experiencia	38672	15298	62	25	0.99
mente	38672	15298	55	23	0.99
hacer	38672	15298	17	9	0.99
conocimiento	38672	15298	59	23	0.98
elemento	38672	15298	10	6	0.97
formación	38672	15298	10	6	0.97
¿cómo	38672	15298	10	6	0.97
hecho	38672	15298	33	15	0.96
cuerpo	38672	15298	33	15	0.96
diferentes	38672	15298	25	12	0.96
misma	38672	15298	36	16	0.95
nuestra	38672	15298	39	17	0.95
general	38672	15298	15	8	0.94
orden	38672	15298	15	8	0.94
hace	38672	15298	48	19	0.93
moral	38672	15298	37	16	0.93
sin	38672	15298	37	16	0.93
vez	38672	15298	23	11	0.92
complejo	38672	15298	8	5	0.92
temas	38672	15298	8	5	0.92
interés	38672	15298	8	5	0.92
natural	38672	15298	8	5	0.92
toda	38672	15298	18	9	0.91
cualquier	38672	15298	13	7	0.90
va	38672	15298	13	7	0.90
misterio	38672	15298	13	7	0.90
Para	38672	15298	33	14	0.88
permite	38672	15298	24	11	0.88
presente	38672	15298	24	11	0.88
abstracto	38672	15298	6	4	0.87
activa	38672	15298	6	4	0.87
puedes	38672	15298	6	4	0.87
distintas	38672	15298	6	4	0.87
universo	38672	15298	6	4	0.87
bajo	38672	15298	6	4	0.87
arte	38672	15298	6	4	0.87
poseen	38672	15298	6	4	0.87
histórica	38672	15298	6	4	0.87
unidad	38672	15298	6	4	0.87
indica	38672	15298	6	4	0.87
descripción	38672	15298	6	4	0.87
perspectivas	38672	15298	6	4	0.87
Estados	38672	15298	6	4	0.87
interna	38672	15298	6	4	0.87
debería	38672	15298	6	4	0.87
centra	38672	15298	6	4	0.87
totalidad	38672	15298	6	4	0.87
somnolencia	38672	15298	6	4	0.87
alerta	38672	15298	6	4	0.87
sea	38672	15298	36	14	0.87
bien	38672	15298	36	14	0.87
ejemplo	38672	15298	35	14	0.86
primera	38672	15298	16	8	0.86
tenemos	38672	15298	16	8	0.86
debe	38672	15298	33	13	0.85
otras	38672	15298	32	13	0.85
individuo	38672	15298	32	13	0.85
solo	38672	15298	28	12	0.85
estar	38672	15298	28	12	0.85
siempre	38672	15298	19	9	0.85
tan	38672	15298	19	9	0.85
reflexión	38672	15298	19	9	0.85
origen	38672	15298	19	9	0.85
algunas	38672	15298	11	6	0.85
cerebrales	38672	15298	11	6	0.85
necesario	38672	15298	11	6	0.85
relación	38672	15298	25	11	0.84
hasta	38672	15298	25	11	0.84
hombre	38672	15298	31	12	0.84
lenguaje	38672	15298	30	12	0.83
exactamente	38672	15298	4	3	0.82
creer	38672	15298	4	3	0.82
definirse	38672	15298	4	3	0.82
construir	38672	15298	4	3	0.82
físicos	38672	15298	4	3	0.82
quiere	38672	15298	4	3	0.82
ahí	38672	15298	4	3	0.82
Te	38672	15298	4	3	0.82
difíciles	38672	15298	4	3	0.82
influir	38672	15298	4	3	0.82
indisolublemente	38672	15298	4	3	0.82
(sentido	38672	15298	4	3	0.82
acceso	38672	15298	4	3	0.82
representacionales	38672	15298	4	3	0.82
emerge	38672	15298	4	3	0.82
hoy	38672	15298	4	3	0.82
ámbito	38672	15298	4	3	0.82
ir	38672	15298	4	3	0.82
separación	38672	15298	4	3	0.82
dimensión	38672	15298	4	3	0.82
asociada	38672	15298	4	3	0.82
provienen	38672	15298	4	3	0.82
vocablo	38672	15298	4	3	0.82
fruto	38672	15298	4	3	0.82
psicológico	38672	15298	4	3	0.82
déficit	38672	15298	4	3	0.82
voz	38672	15298	4	3	0.82
alto	38672	15298	4	3	0.82
nombre	38672	15298	4	3	0.82
daño	38672	15298	4	3	0.82
basa	38672	15298	4	3	0.82
elemental	38672	15298	4	3	0.82
“En	38672	15298	4	3	0.82
“Si	38672	15298	4	3	0.82
variable	38672	15298	4	3	0.82
indudable	38672	15298	4	3	0.82
incluyendo	38672	15298	4	3	0.82
perturbaciones	38672	15298	4	3	0.82
problemático	38672	15298	4	3	0.82
inicial	38672	15298	4	3	0.82
Bajo	38672	15298	4	3	0.82
neurología	38672	15298	4	3	0.82
expresión	38672	15298	4	3	0.82
Alteración	38672	15298	4	3	0.82
genéticamente	38672	15298	4	3	0.82
Confusión	38672	15298	4	3	0.82
Causas	38672	15298	4	3	0.82
¿Una	38672	15298	4	3	0.82
sujeto	38672	15298	28	11	0.82
tema	38672	15298	14	7	0.81
trata	38672	15298	14	7	0.81
idea	38672	15298	14	7	0.81
psicología	38672	15298	27	11	0.81
tiempo	38672	15298	27	11	0.81
pensamientos	38672	15298	27	11	0.81
mental	38672	15298	27	11	0.81
cum	38672	15298	2	2	0.81
programa	38672	15298	2	2	0.81
Francis	38672	15298	2	2	0.81
Crick	38672	15298	2	2	0.81
entenderse	38672	15298	2	2	0.81
complica	38672	15298	2	2	0.81
[¿Que	38672	15298	2	2	0.81
pasiva	38672	15298	2	2	0.81
manifestación	38672	15298	2	2	0.81
utilidad	38672	15298	2	2	0.81
[Ilustración	38672	15298	2	2	0.81
rostros	38672	15298	2	2	0.81
antiguos	38672	15298	2	2	0.81
estudiados	38672	15298	2	2	0.81
anterioridad	38672	15298	2	2	0.81
existente	38672	15298	2	2	0.81
dato	38672	15298	2	2	0.81
activamente	38672	15298	2	2	0.81
(Ser	38672	15298	2	2	0.81
“al	38672	15298	2	2	0.81
concibe	38672	15298	2	2	0.81
continúa	38672	15298	2	2	0.81
presupone	38672	15298	2	2	0.81
socialmente	38672	15298	2	2	0.81
estrecha	38672	15298	2	2	0.81
experiencial	38672	15298	2	2	0.81
usan	38672	15298	2	2	0.81
disociar	38672	15298	2	2	0.81
“problemas	38672	15298	2	2	0.81
juega	38672	15298	2	2	0.81
integrada	38672	15298	2	2	0.81
mente**	38672	15298	2	2	0.81
podrá	38672	15298	2	2	0.81
duro	38672	15298	2	2	0.81
reducir	38672	15298	2	2	0.81
justamente	38672	15298	2	2	0.81
Cognitivas	38672	15298	2	2	0.81
amplio	38672	15298	2	2	0.81
éticas	38672	15298	2	2	0.81
exacta	38672	15298	2	2	0.81
argumentan	38672	15298	2	2	0.81
emplear	38672	15298	2	2	0.81
latino	38672	15298	2	2	0.81
reside	38672	15298	2	2	0.81
consideración	38672	15298	2	2	0.81
Primeros	38672	15298	2	2	0.81
Hipótesis	38672	15298	2	2	0.81
fisiológico	38672	15298	2	2	0.81
Durante	38672	15298	2	2	0.81
sola	38672	15298	2	2	0.81
descubrió	38672	15298	2	2	0.81
ampliar	38672	15298	2	2	0.81
biológicos	38672	15298	2	2	0.81
versus	38672	15298	2	2	0.81
(una	38672	15298	2	2	0.81
contribución	38672	15298	2	2	0.81
surgido	38672	15298	2	2	0.81
explorará	38672	15298	2	2	0.81
(ser	38672	15298	2	2	0.81
tranquila	38672	15298	2	2	0.81
generalmente	38672	15298	2	2	0.81
autoridades	38672	15298	2	2	0.81
estará	38672	15298	2	2	0.81
pierde	38672	15298	2	2	0.81
[Consciencia	38672	15298	2	2	0.81
autoconocimiento	38672	15298	2	2	0.81
sabes	38672	15298	2	2	0.81
conectar	38672	15298	2	2	0.81
¿Y	38672	15298	2	2	0.81
creo	38672	15298	2	2	0.81
muerte	38672	15298	2	2	0.81
Dictionary	38672	15298	2	2	0.81
examen	38672	15298	2	2	0.81
solamente	38672	15298	2	2	0.81
especialista	38672	15298	2	2	0.81
convencido	38672	15298	2	2	0.81
“no	38672	15298	2	2	0.81
desarrollando	38672	15298	2	2	0.81
contraposición	38672	15298	2	2	0.81
ocupa	38672	15298	2	2	0.81
fácilmente	38672	15298	2	2	0.81
funcionales	38672	15298	2	2	0.81
posibilitan	38672	15298	2	2	0.81
Fundación	38672	15298	2	2	0.81
Lilly	38672	15298	2	2	0.81
hermético	38672	15298	2	2	0.81
razonable	38672	15298	2	2	0.81
sitio	38672	15298	2	2	0.81
empíricamente	38672	15298	2	2	0.81
derivan	38672	15298	2	2	0.81
revelar	38672	15298	2	2	0.81
enjambre	38672	15298	2	2	0.81
conceptuar	38672	15298	2	2	0.81
Bleuler	38672	15298	2	2	0.81
momentánea	38672	15298	2	2	0.81
(³	38672	15298	2	2	0.81
inferior	38672	15298	2	2	0.81
transitoria	38672	15298	2	2	0.81
interesar	38672	15298	2	2	0.81
finalidad	38672	15298	2	2	0.81
alterada	38672	15298	2	2	0.81
autonoética	38672	15298	2	2	0.81
Amador	38672	15298	2	2	0.81
preferentemente	38672	15298	2	2	0.81
absoluta	38672	15298	2	2	0.81
deje	38672	15298	2	2	0.81
Antonio	38672	15298	2	2	0.81
labor	38672	15298	2	2	0.81
enigmática	38672	15298	2	2	0.81
Vista	38672	15298	2	2	0.81
[⁷	38672	15298	2	2	0.81
tangible	38672	15298	2	2	0.81
incomprensible	38672	15298	2	2	0.81
tematizar	38672	15298	2	2	0.81
escena	38672	15298	2	2	0.81
sepa	38672	15298	2	2	0.81
plano	38672	15298	2	2	0.81
poderes	38672	15298	2	2	0.81
inexplicable	38672	15298	2	2	0.81
expone	38672	15298	2	2	0.81
celular	38672	15298	2	2	0.81
supersentido	38672	15298	2	2	0.81
empírico	38672	15298	2	2	0.81
inmanente	38672	15298	2	2	0.81
empuja	38672	15298	2	2	0.81
raciocinio	38672	15298	2	2	0.81
etapas	38672	15298	2	2	0.81
aclara	38672	15298	2	2	0.81
investiga	38672	15298	2	2	0.81
intrusión	38672	15298	2	2	0.81
emboscada	38672	15298	2	2	0.81
hacemos	38672	15298	2	2	0.81
Disminución	38672	15298	2	2	0.81
precise	38672	15298	2	2	0.81
asistencia	38672	15298	2	2	0.81
ventilatoria	38672	15298	2	2	0.81
superficial	38672	15298	2	2	0.81
diarias	38672	15298	2	2	0.81
CO	38672	15298	2	2	0.81
Kaku	38672	15298	2	2	0.81
definición	38672	15298	20	9	0.80
refiere	38672	15298	20	9	0.80
cerebral	38672	15298	20	9	0.80
sido	38672	15298	17	8	0.80
mayor	38672	15298	17	8	0.80
objeto	38672	15298	26	10	0.80
le	38672	15298	25	10	0.79
través	38672	15298	24	9	0.79
algún	38672	15298	9	5	0.79
clase	38672	15298	9	5	0.79
principal	38672	15298	9	5	0.79
ambas	38672	15298	9	5	0.79
fue	38672	15298	9	5	0.79
individual	38672	15298	9	5	0.79
conocer	38672	15298	9	5	0.79
algunos	38672	15298	21	9	0.78
así	38672	15298	21	9	0.78
todos	38672	15298	21	9	0.78
filósofos	38672	15298	21	9	0.78
ver	38672	15298	23	9	0.77
otro	38672	15298	23	9	0.77
ella	38672	15298	18	8	0.77
cosas	38672	15298	18	8	0.77
distintos	38672	15298	12	6	0.76
te	38672	15298	12	6	0.76
último	38672	15298	12	6	0.76
causas	38672	15298	12	6	0.76
corporal	38672	15298	15	7	0.76
Esto	38672	15298	15	7	0.76
mejor	38672	15298	15	7	0.76
Así	38672	15298	15	7	0.76
muchos	38672	15298	21	8	0.76
problemas	38672	15298	19	8	0.75
entonces	38672	15298	19	8	0.75
funciones	38672	15298	20	8	0.75
palabras	38672	15298	16	7	0.73
ideas	38672	15298	16	7	0.73
fenómenos	38672	15298	16	7	0.73
dentro	38672	15298	16	7	0.73
conscientia	38672	15298	7	4	0.72
físico	38672	15298	7	4	0.72
ellas	38672	15298	7	4	0.72
somos	38672	15298	7	4	0.72
producen	38672	15298	7	4	0.72
Edelman	38672	15298	7	4	0.72
uso	38672	15298	18	7	0.72
comprensión	38672	15298	18	7	0.72
visión	38672	15298	18	7	0.72
sueño	38672	15298	18	7	0.72
Si	38672	15298	18	7	0.72
investigación	38672	15298	17	7	0.72
duda	38672	15298	17	7	0.72
debate	38672	15298	13	6	0.71
Ahora	38672	15298	13	6	0.71
además	38672	15298	13	6	0.71
particular	38672	15298	13	6	0.71
hacia	38672	15298	13	6	0.71
poder	38672	15298	13	6	0.71
ocurre	38672	15298	10	5	0.71
formas	38672	15298	10	5	0.71
parece	38672	15298	10	5	0.71
fuera	38672	15298	10	5	0.71
significa	38672	15298	16	6	0.70
sistema	38672	15298	14	6	0.69
primero	38672	15298	15	6	0.69
mal	38672	15298	14	5	0.68
desarrollo	38672	15298	14	5	0.68
vista	38672	15298	11	5	0.66
constituye	38672	15298	11	5	0.66
igual	38672	15298	11	5	0.66
importantes	38672	15298	11	5	0.66
Consciencia	38672	15298	11	5	0.66
especie	38672	15298	13	5	0.65
animales	38672	15298	13	5	0.65
razón	38672	15298	13	5	0.65
Pero	38672	15298	13	5	0.65
da	38672	15298	13	5	0.65
habla	38672	15298	12	5	0.65
tres	38672	15298	12	5	0.65
artículo	38672	15298	12	5	0.65
estamos	38672	15298	12	5	0.65
inconsciente	38672	15298	12	5	0.65
latín	38672	15298	5	3	0.65
Existen	38672	15298	5	3	0.65
consecuencia	38672	15298	5	3	0.65
manifiesta	38672	15298	5	3	0.65
materialismo	38672	15298	5	3	0.65
principio	38672	15298	5	3	0.65
religión	38672	15298	5	3	0.65
cierto	38672	15298	5	3	0.65
valorar	38672	15298	5	3	0.65
enfoques	38672	15298	5	3	0.65
diversos	38672	15298	5	3	0.65
directamente	38672	15298	5	3	0.65
varias	38672	15298	5	3	0.65
fundamentales	38672	15298	5	3	0.65
distinguir	38672	15298	5	3	0.65
conduce	38672	15298	5	3	0.65
tarea	38672	15298	5	3	0.65
cualitativa	38672	15298	5	3	0.65
nuevo	38672	15298	5	3	0.65
sentir	38672	15298	5	3	0.65
diferencias	38672	15298	5	3	0.65
posibles	38672	15298	5	3	0.65
estadounidense	38672	15298	5	3	0.65
tomar	38672	15298	5	3	0.65
Dentro	38672	15298	5	3	0.65
Podemos	38672	15298	5	3	0.65
corazón	38672	15298	5	3	0.65
Pablo	38672	15298	5	3	0.65
postura	38672	15298	5	3	0.65
obnubilación	38672	15298	5	3	0.65
cuyos	38672	15298	5	3	0.65
Bunge	38672	15298	5	3	0.65
línea	38672	15298	5	3	0.65
generan	38672	15298	5	3	0.65
instante	38672	15298	5	3	0.65
dar	38672	15298	8	4	0.64
identificar	38672	15298	8	4	0.64
importante	38672	15298	8	4	0.64
intencionalidad	38672	15298	8	4	0.64
significados	38672	15298	8	4	0.64
efectos	38672	15298	8	4	0.64
misterios	38672	15298	8	4	0.64
ético	38672	15298	8	4	0.64
mito	38672	15298	8	4	0.64
representación	38672	15298	11	4	0.62
difícil	38672	15298	11	4	0.62
propiedad	38672	15298	11	4	0.62
significado	38672	15298	11	4	0.62
palabra	38672	15298	11	4	0.62
veces	38672	15298	11	4	0.62
comportamiento	38672	15298	11	4	0.62
estructura	38672	15298	11	4	0.62
espacio	38672	15298	11	4	0.62
entendimiento	38672	15298	11	4	0.62
resultado	38672	15298	9	4	0.60
especialmente	38672	15298	9	4	0.60
grupo	38672	15298	9	4	0.60
pregunta	38672	15298	9	4	0.60
existen	38672	15298	9	4	0.60
nervioso	38672	15298	9	4	0.60
simple	38672	15298	9	4	0.60
suele	38672	15298	9	4	0.60
Cuando	38672	15298	9	4	0.60
avances	38672	15298	9	4	0.60
ejemplos	38672	15298	9	4	0.60
dolor	38672	15298	9	4	0.60
única	38672	15298	10	4	0.60
hechos	38672	15298	10	4	0.60
primer	38672	15298	10	4	0.60
material	38672	15298	10	4	0.60
capaz	38672	15298	10	4	0.60
segundo	38672	15298	10	4	0.60
nueva	38672	15298	10	4	0.60
subjetividad	38672	15298	10	4	0.60
hombres	38672	15298	9	3	0.60
objetos	38672	15298	9	3	0.60
cosa	38672	15298	9	3	0.60
dificultad	38672	15298	9	3	0.60
Trastornos	38672	15298	9	3	0.60
llegar	38672	15298	9	3	0.60
autor	38672	15298	9	3	0.60
paciente	38672	15298	9	3	0.60
mecanismos	38672	15298	6	3	0.56
tus	38672	15298	6	3	0.56
Ryle	38672	15298	6	3	0.56
suelen	38672	15298	6	3	0.56
entiende	38672	15298	6	3	0.56
aparición	38672	15298	6	3	0.56
última	38672	15298	6	3	0.56
métodos	38672	15298	6	3	0.56
escenario	38672	15298	6	3	0.56
fáciles	38672	15298	6	3	0.56
principales	38672	15298	6	3	0.56
representacional	38672	15298	6	3	0.56
dan	38672	15298	6	3	0.56
surgen	38672	15298	6	3	0.56
Además	38672	15298	6	3	0.56
ejercicio	38672	15298	6	3	0.56
laboratorio	38672	15298	6	3	0.56
psicológicos	38672	15298	6	3	0.56
sistemas	38672	15298	6	3	0.56
mi	38672	15298	6	3	0.56
paso	38672	15298	6	3	0.56
crear	38672	15298	6	3	0.56
córtex	38672	15298	6	3	0.56
superiores	38672	15298	6	3	0.56
deja	38672	15298	6	3	0.56
clínica	38672	15298	6	3	0.56
situación	38672	15298	6	3	0.56
relaciones	38672	15298	8	3	0.55
respuesta	38672	15298	8	3	0.55
Hay	38672	15298	8	3	0.55
presenta	38672	15298	8	3	0.55
percibir	38672	15298	8	3	0.55
mediante	38672	15298	8	3	0.55
acerca	38672	15298	8	3	0.55
clínicas	38672	15298	8	3	0.55
menudo	38672	15298	8	3	0.55
clasificación	38672	15298	8	3	0.55
síntomas	38672	15298	8	3	0.55
múltiples	38672	15298	8	3	0.55
(del	38672	15298	3	2	0.55
complejos	38672	15298	3	2	0.55
constante	38672	15298	3	2	0.55
Descartes	38672	15298	3	2	0.55
esencial	38672	15298	3	2	0.55
representando	38672	15298	3	2	0.55
transcurso	38672	15298	3	2	0.55
actitud	38672	15298	3	2	0.55
idealismo	38672	15298	3	2	0.55
espiritual	38672	15298	3	2	0.55
participan	38672	15298	3	2	0.55
lógico	38672	15298	3	2	0.55
comprendería	38672	15298	3	2	0.55
demostró	38672	15298	3	2	0.55
fines	38672	15298	3	2	0.55
tareas	38672	15298	3	2	0.55
asimismo	38672	15298	3	2	0.55
normalmente	38672	15298	3	2	0.55
requieren	38672	15298	3	2	0.55
(por	38672	15298	3	2	0.55
busca	38672	15298	3	2	0.55
argumentar	38672	15298	3	2	0.55
ausente	38672	15298	3	2	0.55
relevante	38672	15298	3	2	0.55
entendida	38672	15298	3	2	0.55
naturalistas	38672	15298	3	2	0.55
utilizan	38672	15298	3	2	0.55
resumen	38672	15298	3	2	0.55
hablar	38672	15298	3	2	0.55
Hoy	38672	15298	3	2	0.55
(no	38672	15298	3	2	0.55
desafíos	38672	15298	3	2	0.55
profundidad	38672	15298	3	2	0.55
independiente	38672	15298	3	2	0.55
intentar	38672	15298	3	2	0.55
cuyo	38672	15298	3	2	0.55
mismas	38672	15298	3	2	0.55
fenoménicas	38672	15298	3	2	0.55
creación	38672	15298	3	2	0.55
biológico	38672	15298	3	2	0.55
culpa	38672	15298	3	2	0.55
conocemos	38672	15298	3	2	0.55
cargo	38672	15298	3	2	0.55
alguien	38672	15298	3	2	0.55
podrían	38672	15298	3	2	0.55
Locke	38672	15298	3	2	0.55
(que	38672	15298	3	2	0.55
reconocer	38672	15298	3	2	0.55
experimentos	38672	15298	3	2	0.55
terapia	38672	15298	3	2	0.55
podido	38672	15298	3	2	0.55
creciente	38672	15298	3	2	0.55
basadas	38672	15298	3	2	0.55
