token	corpus size	all contexts size	frequency	co-frequency	specificity
"objective	113687	18873	5	4	2.50
Engels	113687	18873	5	4	2.50
epileptic	113687	18873	5	4	2.50
seven	113687	18873	5	4	2.50
Disorders	113687	18873	5	4	2.50
explananda	113687	18873	5	4	2.50
correlated	113687	18873	5	4	2.50
decisive	113687	18873	5	4	2.50
is	113687	18873	1779	327	2.48
limits	113687	18873	14	7	2.48
state	113687	18873	106	28	2.47
could	113687	18873	73	21	2.44
Despite	113687	18873	11	6	2.41
intentional	113687	18873	11	6	2.41
both	113687	18873	69	20	2.40
alienation	113687	18873	8	5	2.39
emergence	113687	18873	8	5	2.39
machine	113687	18873	8	5	2.39
exploitation	113687	18873	18	8	2.39
revolutionary	113687	18873	22	9	2.35
far	113687	18873	22	9	2.35
privacy	113687	18873	3	3	2.34
intricate	113687	18873	3	3	2.34
Within	113687	18873	3	3	2.34
alterations	113687	18873	3	3	2.34
difficulties	113687	18873	3	3	2.34
indicators	113687	18873	3	3	2.34
(IIT)	113687	18873	3	3	2.34
cerebral	113687	18873	3	3	2.34
advantage	113687	18873	3	3	2.34
minimal	113687	18873	3	3	2.34
continuous	113687	18873	3	3	2.34
(Rosenthal	113687	18873	3	3	2.34
(Carruthers	113687	18873	3	3	2.34
incomplete	113687	18873	3	3	2.34
shed	113687	18873	3	3	2.34
quantity	113687	18873	3	3	2.34
distance	113687	18873	3	3	2.34
emerging	113687	18873	3	3	2.34
disentangle	113687	18873	3	3	2.34
explainable	113687	18873	3	3	2.34
(ECI)	113687	18873	3	3	2.34
perturbational	113687	18873	3	3	2.34
including	113687	18873	30	11	2.34
form	113687	18873	75	21	2.31
view	113687	18873	66	19	2.29
recognizing	113687	18873	15	7	2.28
studies	113687	18873	15	7	2.28
suggested	113687	18873	15	7	2.28
study	113687	18873	39	13	2.28
very	113687	18873	48	15	2.26
beyond	113687	18873	19	8	2.23
research	113687	18873	19	8	2.23
internal	113687	18873	31	11	2.23
real	113687	18873	31	11	2.23
century	113687	18873	44	14	2.22
human	113687	18873	111	28	2.21
20th	113687	18873	12	6	2.19
suggests	113687	18873	12	6	2.19
indicator	113687	18873	12	6	2.19
take	113687	18873	36	12	2.15
topic	113687	18873	9	5	2.11
Neural	113687	18873	9	5	2.11
characteristics	113687	18873	9	5	2.11
nonconscious	113687	18873	9	5	2.11
temporal	113687	18873	9	5	2.11
realized	113687	18873	9	5	2.11
clinical	113687	18873	9	5	2.11
hence	113687	18873	9	5	2.11
well	113687	18873	64	18	2.11
helping	113687	18873	6	4	2.10
fostering	113687	18873	6	4	2.10
reach	113687	18873	6	4	2.10
reliable	113687	18873	6	4	2.10
connectivity	113687	18873	6	4	2.10
compared	113687	18873	6	4	2.10
2000)	113687	18873	6	4	2.10
antagonism	113687	18873	6	4	2.10
reticular	113687	18873	6	4	2.10
patient’s	113687	18873	6	4	2.10
spectral	113687	18873	6	4	2.10
existence	113687	18873	28	10	2.10
structure	113687	18873	24	9	2.09
Marxist	113687	18873	20	8	2.08
realm	113687	18873	20	8	2.08
key	113687	18873	20	8	2.08
understand	113687	18873	37	12	2.06
which	113687	18873	358	73	2.05
necessary	113687	18873	33	11	2.03
activity	113687	18873	42	13	2.02
been	113687	18873	121	29	2.00
argue	113687	18873	13	6	2.00
concern	113687	18873	13	6	2.00
indicate	113687	18873	13	6	2.00
(See	113687	18873	13	6	2.00
why	113687	18873	38	12	1.98
changes	113687	18873	17	7	1.96
thinking	113687	18873	21	8	1.96
may	113687	18873	133	31	1.94
these	113687	18873	107	26	1.94
thus	113687	18873	34	11	1.94
proposed	113687	18873	34	11	1.94
are	113687	18873	478	93	1.92
unity	113687	18873	30	10	1.90
vary	113687	18873	10	5	1.89
materialism	113687	18873	10	5	1.89
19th	113687	18873	10	5	1.89
reflect	113687	18873	10	5	1.89
drugs	113687	18873	10	5	1.89
criterion	113687	18873	10	5	1.89
procedure	113687	18873	10	5	1.89
methods	113687	18873	10	5	1.89
Most	113687	18873	10	5	1.89
raise	113687	18873	10	5	1.89
determines	113687	18873	10	5	1.89
about	113687	18873	216	46	1.88
a	113687	18873	2129	371	1.87
Why	113687	18873	26	9	1.86
known	113687	18873	26	9	1.86
systems	113687	18873	26	9	1.86
features	113687	18873	35	11	1.85
members	113687	18873	22	8	1.84
linked	113687	18873	22	8	1.84
exist	113687	18873	22	8	1.84
regard	113687	18873	22	8	1.84
politics	113687	18873	14	6	1.83
multiple	113687	18873	14	6	1.83
underlying	113687	18873	14	6	1.83
differ	113687	18873	14	6	1.83
fully	113687	18873	14	6	1.83
political	113687	18873	59	16	1.83
and	113687	18873	3007	514	1.82
potential	113687	18873	18	7	1.82
describe	113687	18873	18	7	1.82
highlighted	113687	18873	4	3	1.82
transforms	113687	18873	4	3	1.82
globalization	113687	18873	4	3	1.82
advocating	113687	18873	4	3	1.82
Struggle	113687	18873	4	3	1.82
tied	113687	18873	4	3	1.82
goals	113687	18873	4	3	1.82
Once	113687	18873	4	3	1.82
seize	113687	18873	4	3	1.82
evolve	113687	18873	4	3	1.82
attributed	113687	18873	4	3	1.82
severely	113687	18873	4	3	1.82
wings	113687	18873	4	3	1.82
assessing	113687	18873	4	3	1.82
absent	113687	18873	4	3	1.82
trait	113687	18873	4	3	1.82
exclusively	113687	18873	4	3	1.82
integrative	113687	18873	4	3	1.82
seizures	113687	18873	4	3	1.82
indicating	113687	18873	4	3	1.82
ontological	113687	18873	4	3	1.82
connect	113687	18873	4	3	1.82
substrate	113687	18873	4	3	1.82
connected	113687	18873	4	3	1.82
underlie	113687	18873	4	3	1.82
radically	113687	18873	4	3	1.82
creation	113687	18873	4	3	1.82
centre	113687	18873	4	3	1.82
“hard	113687	18873	4	3	1.82
clues	113687	18873	4	3	1.82
pharmacological	113687	18873	4	3	1.82
proposes	113687	18873	4	3	1.82
Quantifying	113687	18873	4	3	1.82
supposed	113687	18873	7	4	1.81
vital	113687	18873	7	4	1.81
researchers	113687	18873	7	4	1.81
progress	113687	18873	7	4	1.81
physicalism	113687	18873	7	4	1.81
detailed	113687	18873	7	4	1.81
electrical	113687	18873	7	4	1.81
partial	113687	18873	7	4	1.81
descriptive	113687	18873	7	4	1.81
asks	113687	18873	7	4	1.81
decreased	113687	18873	7	4	1.81
affect	113687	18873	7	4	1.81
Levels	113687	18873	7	4	1.81
movements	113687	18873	31	10	1.81
many	113687	18873	85	21	1.79
possible	113687	18873	50	14	1.78
more	113687	18873	176	38	1.78
philosophers	113687	18873	41	12	1.75
much	113687	18873	41	12	1.75
associated	113687	18873	46	13	1.73
conditions	113687	18873	32	10	1.72
cognitive	113687	18873	32	10	1.72
medicine	113687	18873	11	5	1.71
memory	113687	18873	11	5	1.71
sufficient	113687	18873	11	5	1.71
evolutionary	113687	18873	11	5	1.71
regions	113687	18873	11	5	1.71
obvious	113687	18873	11	5	1.71
arise	113687	18873	11	5	1.71
factors	113687	18873	19	7	1.70
theoretical	113687	18873	19	7	1.70
further	113687	18873	19	7	1.70
to	113687	18873	2759	463	1.70
ideology	113687	18873	15	6	1.69
degree	113687	18873	15	6	1.69
require	113687	18873	15	6	1.69
conflict	113687	18873	15	6	1.69
situation	113687	18873	28	9	1.68
each	113687	18873	47	13	1.67
into	113687	18873	110	25	1.64
even	113687	18873	94	22	1.64
scientific	113687	18873	24	8	1.63
crucial	113687	18873	20	7	1.59
clearly	113687	18873	20	7	1.59
facts	113687	18873	20	7	1.59
versions	113687	18873	8	4	1.59
allowed	113687	18873	8	4	1.59
addressing	113687	18873	8	4	1.59
hard	113687	18873	8	4	1.59
Hameroff	113687	18873	8	4	1.59
overall	113687	18873	8	4	1.59
“What	113687	18873	8	4	1.59
metaphysical	113687	18873	8	4	1.59
vegetative	113687	18873	8	4	1.59
dimensions	113687	18873	8	4	1.59
also	113687	18873	184	38	1.59
experience	113687	18873	85	20	1.57
determined	113687	18873	16	6	1.56
create	113687	18873	16	6	1.56
organization	113687	18873	16	6	1.56
account	113687	18873	39	11	1.56
most	113687	18873	129	28	1.56
given	113687	18873	54	14	1.56
etymological	113687	18873	2	2	1.56
survival-related	113687	18873	2	2	1.56
incorporating	113687	18873	2	2	1.56
eloquently	113687	18873	2	2	1.56
"and	113687	18873	2	2	1.56
expansion	113687	18873	2	2	1.56
Camus	113687	18873	2	2	1.56
non-Western	113687	18873	2	2	1.56
agreeably	113687	18873	2	2	1.56
Abrahamic	113687	18873	2	2	1.56
(French	113687	18873	2	2	1.56
collective)	113687	18873	2	2	1.56
(sometimes	113687	18873	2	2	1.56
conscious)	113687	18873	2	2	1.56
or conscience	113687	18873	2	2	1.56
collective as	113687	18873	2	2	1.56
archaic	113687	18873	2	2	1.56
humankind	113687	18873	2	2	1.56
"theory	113687	18873	2	2	1.56
offering	113687	18873	2	2	1.56
Alienation	113687	18873	2	2	1.56
consumerism	113687	18873	2	2	1.56
foster	113687	18873	2	2	1.56
Materialism	113687	18873	2	2	1.56
Various	113687	18873	2	2	1.56
uniting	113687	18873	2	2	1.56
Bolsheviks	113687	18873	2	2	1.56
foundational	113687	18873	2	2	1.56
paving	113687	18873	2	2	1.56
spheres	113687	18873	2	2	1.56
Distinguishing	113687	18873	2	2	1.56
Projective	113687	18873	2	2	1.56
Claustrum	113687	18873	2	2	1.56
conductor	113687	18873	2	2	1.56
transitions	113687	18873	2	2	1.56
observe	113687	18873	2	2	1.56
standardized	113687	18873	2	2	1.56
reportability	113687	18873	2	2	1.56
span	113687	18873	2	2	1.56
horizon	113687	18873	2	2	1.56
holistic	113687	18873	2	2	1.56
QM	113687	18873	2	2	1.56
pre-linguistic	113687	18873	2	2	1.56
surprisingly	113687	18873	2	2	1.56
assumed	113687	18873	2	2	1.56
reptilian	113687	18873	2	2	1.56
capacities	113687	18873	2	2	1.56
psychedelic	113687	18873	2	2	1.56
vertebrates	113687	18873	2	2	1.56
dreamless	113687	18873	2	2	1.56
hopes	113687	18873	2	2	1.56
neuropsychological	113687	18873	2	2	1.56
grand	113687	18873	2	2	1.56
mal	113687	18873	2	2	1.56
disorder	113687	18873	2	2	1.56
substrates	113687	18873	2	2	1.56
human-like	113687	18873	2	2	1.56
compression	113687	18873	2	2	1.56
reductively	113687	18873	2	2	1.56
framework"	113687	18873	2	2	1.56
Minimally	113687	18873	2	2	1.56
Subconscious	113687	18873	2	2	1.56
Causal	113687	18873	2	2	1.56
equated	113687	18873	2	2	1.56
initially	113687	18873	2	2	1.56
varieties	113687	18873	2	2	1.56
1998)	113687	18873	2	2	1.56
suffice	113687	18873	2	2	1.56
invoke	113687	18873	2	2	1.56
neuro-cognitive	113687	18873	2	2	1.56
ontology	113687	18873	2	2	1.56
HOT	113687	18873	2	2	1.56
representationalist	113687	18873	2	2	1.56
“Concepts	113687	18873	2	2	1.56
small-group	113687	18873	2	2	1.56
Black	113687	18873	2	2	1.56
half	113687	18873	2	2	1.56
incredibly	113687	18873	2	2	1.56
psychiatric	113687	18873	2	2	1.56
calculate	113687	18873	2	2	1.56
famously	113687	18873	2	2	1.56
ether	113687	18873	2	2	1.56
captures	113687	18873	2	2	1.56
term)	113687	18873	2	2	1.56
disciplines	113687	18873	2	2	1.56
tapestry	113687	18873	2	2	1.56
belonging	113687	18873	2	2	1.56
Classless	113687	18873	2	2	1.56
instilled	113687	18873	2	2	1.56
"empirical"	113687	18873	2	2	1.56
regimes	113687	18873	2	2	1.56
‘falseness’	113687	18873	2	2	1.56
empirically	113687	18873	2	2	1.56
separates	113687	18873	2	2	1.56
formally	113687	18873	2	2	1.56
peasants	113687	18873	2	2	1.56
characteristic	113687	18873	2	2	1.56
(imputed)	113687	18873	2	2	1.56
bare	113687	18873	2	2	1.56
threshold	113687	18873	2	2	1.56
prognosis	113687	18873	2	2	1.56
intracranial	113687	18873	2	2	1.56
hemispheres	113687	18873	2	2	1.56
metabolic	113687	18873	2	2	1.56
lowered	113687	18873	2	2	1.56
“level	113687	18873	2	2	1.56
Schematic	113687	18873	2	2	1.56
PCI*	113687	18873	2	2	1.56
orange	113687	18873	2	2	1.56
purple	113687	18873	2	2	1.56
dots	113687	18873	2	2	1.56
Lukács	113687	18873	12	5	1.55
origin	113687	18873	12	5	1.55
global	113687	18873	25	8	1.55
part	113687	18873	60	15	1.52
just	113687	18873	55	14	1.51
individuals	113687	18873	35	10	1.51
workers	113687	18873	40	11	1.50
mass	113687	18873	5	3	1.50
objectivity	113687	18873	5	3	1.50
programs	113687	18873	5	3	1.50
drive	113687	18873	5	3	1.50
empowering	113687	18873	5	3	1.50
survival	113687	18873	5	3	1.50
subsection	113687	18873	5	3	1.50
divided	113687	18873	5	3	1.50
Philosophers	113687	18873	5	3	1.50
experts	113687	18873	5	3	1.50
assessed	113687	18873	5	3	1.50
scales	113687	18873	5	3	1.50
(including	113687	18873	5	3	1.50
investigation	113687	18873	5	3	1.50
non-human	113687	18873	5	3	1.50
waking	113687	18873	5	3	1.50
writers	113687	18873	5	3	1.50
suggesting	113687	18873	5	3	1.50
signs	113687	18873	5	3	1.50
computational	113687	18873	5	3	1.50
Hard	113687	18873	5	3	1.50
reflexive	113687	18873	5	3	1.50
substantive	113687	18873	5	3	1.50
realist	113687	18873	5	3	1.50
Critical	113687	18873	5	3	1.50
advances	113687	18873	5	3	1.50
organic	113687	18873	5	3	1.50
for	113687	18873	664	116	1.47
consider	113687	18873	26	8	1.46
challenge	113687	18873	17	6	1.45
structures	113687	18873	17	6	1.45
depends	113687	18873	17	6	1.45
coma	113687	18873	17	6	1.45
becomes	113687	18873	17	6	1.45
qualia	113687	18873	17	6	1.45
s	113687	18873	286	54	1.45
one	113687	18873	275	52	1.43
economics	113687	18873	13	5	1.42
core	113687	18873	13	5	1.42
influence	113687	18873	13	5	1.42
neuroscience	113687	18873	13	5	1.42
highly	113687	18873	13	5	1.42
other	113687	18873	164	33	1.41
story	113687	18873	9	4	1.41
dynamic	113687	18873	9	4	1.41
revolution	113687	18873	9	4	1.41
centuries	113687	18873	9	4	1.41
intuition	113687	18873	9	4	1.41
exactly	113687	18873	9	4	1.41
distinguish	113687	18873	9	4	1.41
avian	113687	18873	9	4	1.41
completely	113687	18873	9	4	1.41
achieved	113687	18873	9	4	1.41
essentially	113687	18873	9	4	1.41
method	113687	18873	9	4	1.41
simultaneously	113687	18873	9	4	1.41
contents	113687	18873	22	7	1.41
distinct	113687	18873	22	7	1.41
by	113687	18873	604	104	1.40
without	113687	18873	63	15	1.40
especially	113687	18873	27	8	1.39
classes	113687	18873	27	8	1.39
be	113687	18873	669	111	1.38
on	113687	18873	533	92	1.38
this	113687	18873	387	69	1.37
perhaps	113687	18873	18	6	1.36
sensory	113687	18873	18	6	1.36
they	113687	18873	234	44	1.35
modern	113687	18873	23	7	1.33
mind	113687	18873	99	21	1.32
way	113687	18873	82	18	1.32
history	113687	18873	49	12	1.31
Marxism	113687	18873	14	5	1.31
Historical	113687	18873	14	5	1.31
type	113687	18873	14	5	1.31
appear	113687	18873	14	5	1.31
all	113687	18873	171	33	1.30
have	113687	18873	401	68	1.28
result	113687	18873	39	10	1.28
Antonio	113687	18873	6	3	1.28
average	113687	18873	6	3	1.28
hinder	113687	18873	6	3	1.28
build	113687	18873	6	3	1.28
economy	113687	18873	6	3	1.28
discussions	113687	18873	6	3	1.28
explore	113687	18873	6	3	1.28
activism	113687	18873	6	3	1.28
dominant	113687	18873	6	3	1.28
favor	113687	18873	6	3	1.28
treated	113687	18873	6	3	1.28
treat	113687	18873	6	3	1.28
Penrose	113687	18873	6	3	1.28
essence	113687	18873	6	3	1.28
component	113687	18873	6	3	1.28
representation	113687	18873	6	3	1.28
absence	113687	18873	6	3	1.28
Here	113687	18873	6	3	1.28
obviously	113687	18873	6	3	1.28
turns	113687	18873	6	3	1.28
advanced	113687	18873	6	3	1.28
placed	113687	18873	6	3	1.28
problem”	113687	18873	6	3	1.28
demonstrated	113687	18873	6	3	1.28
imputed	113687	18873	6	3	1.28
strength	113687	18873	6	3	1.28
stages	113687	18873	6	3	1.28
index	113687	18873	6	3	1.28
Hegel	113687	18873	6	3	1.28
idea	113687	18873	61	14	1.27
focus	113687	18873	19	6	1.27
EEG	113687	18873	19	6	1.27
properties	113687	18873	19	6	1.27
self-awareness	113687	18873	19	6	1.27
entry	113687	18873	19	6	1.27
conception	113687	18873	10	4	1.27
inequality	113687	18873	10	4	1.27
arises	113687	18873	10	4	1.27
refers	113687	18873	34	9	1.27
conscious	113687	18873	169	32	1.25
their	113687	18873	347	57	1.24
own	113687	18873	127	25	1.23
such	113687	18873	196	36	1.23
itself	113687	18873	74	16	1.22
process	113687	18873	57	13	1.22
literature	113687	18873	15	5	1.21
thoughts	113687	18873	30	8	1.21
was	113687	18873	253	44	1.20
only	113687	18873	129	25	1.20
mental	113687	18873	52	12	1.20
described	113687	18873	25	7	1.20
early	113687	18873	25	7	1.20
really	113687	18873	20	6	1.19
provide	113687	18873	41	10	1.19
than	113687	18873	112	22	1.18
point	113687	18873	36	9	1.17
any	113687	18873	119	23	1.17
seventeenth-century	113687	18873	3	2	1.16
biomedical	113687	18873	3	2	1.16
representative	113687	18873	3	2	1.16
signifies	113687	18873	3	2	1.16
Mafia	113687	18873	3	2	1.16
permanent	113687	18873	3	2	1.16
Communist	113687	18873	3	2	1.16
possibility"	113687	18873	3	2	1.16
Leszek	113687	18873	3	2	1.16
Fostering	113687	18873	3	2	1.16
borders	113687	18873	3	2	1.16
proponents	113687	18873	3	2	1.16
communicate	113687	18873	3	2	1.16
fuels	113687	18873	3	2	1.16
socioeconomic	113687	18873	3	2	1.16
examining	113687	18873	3	2	1.16
globalized	113687	18873	3	2	1.16
persist	113687	18873	3	2	1.16
instances	113687	18873	3	2	1.16
harnessed	113687	18873	3	2	1.16
summary	113687	18873	3	2	1.16
illustrates	113687	18873	3	2	1.16
intrinsically	113687	18873	3	2	1.16
nuances	113687	18873	3	2	1.16
responsive	113687	18873	3	2	1.16
Cartesian	113687	18873	3	2	1.16
occurring	113687	18873	3	2	1.16
interpretations	113687	18873	3	2	1.16
collapse	113687	18873	3	2	1.16
experiments	113687	18873	3	2	1.16
zombie	113687	18873	3	2	1.16
quantitative	113687	18873	3	2	1.16
Models	113687	18873	3	2	1.16
architecture	113687	18873	3	2	1.16
disruption	113687	18873	3	2	1.16
exploration	113687	18873	3	2	1.16
organisms	113687	18873	3	2	1.16
Tart	113687	18873	3	2	1.16
Patients	113687	18873	3	2	1.16
examined	113687	18873	3	2	1.16
labeled	113687	18873	3	2	1.16
autobiographical	113687	18873	3	2	1.16
