token	corpus size	all contexts size	frequency	co-frequency	specificity
скрытый	117104	41002	4	4	1.82
(«компас»)	117104	41002	4	4	1.82
указывают	117104	41002	4	4	1.82
твоей	117104	41002	4	4	1.82
безусловный	117104	41002	4	4	1.82
отводится	117104	41002	4	4	1.82
испытывают	117104	41002	4	4	1.82
Некоторый	117104	41002	4	4	1.82
схоластической	117104	41002	4	4	1.82
почек»	117104	41002	4	4	1.82
А ещё	117104	41002	4	4	1.82
бомбу	117104	41002	4	4	1.82
чистоты	117104	41002	4	4	1.82
Народные	117104	41002	4	4	1.82
пословицы	117104	41002	4	4	1.82
уподобил	117104	41002	4	4	1.82
сожженной	117104	41002	4	4	1.82
обвиняют	117104	41002	4	4	1.82
нечистой	117104	41002	4	4	1.82
испытывал	117104	41002	4	4	1.82
кричит	117104	41002	4	4	1.82
обвиняющие	117104	41002	4	4	1.82
Чистая	117104	41002	4	4	1.82
библейской	117104	41002	4	4	1.82
интегральной	117104	41002	4	4	1.82
Храни	117104	41002	4	4	1.82
становится	117104	41002	59	28	1.82
вопроса	117104	41002	18	11	1.82
терминах	117104	41002	18	11	1.82
глубоко	117104	41002	18	11	1.82
анализ	117104	41002	18	11	1.82
на	117104	41002	892	328	1.82
только	117104	41002	277	109	1.80
нет	117104	41002	106	46	1.80
которое	117104	41002	114	49	1.79
развития	117104	41002	67	31	1.79
способностей	117104	41002	16	10	1.78
типов	117104	41002	16	10	1.78
нашу	117104	41002	16	10	1.78
сказал	117104	41002	16	10	1.78
Можно	117104	41002	23	13	1.74
философы	117104	41002	23	13	1.74
явлений	117104	41002	23	13	1.74
наша	117104	41002	23	13	1.74
современной	117104	41002	14	9	1.74
характеристики	117104	41002	14	9	1.74
лишь	117104	41002	73	33	1.73
быть	117104	41002	194	78	1.72
Для	117104	41002	45	22	1.72
вывод	117104	41002	12	8	1.70
пожалуй	117104	41002	12	8	1.70
ткани	117104	41002	12	8	1.70
настолько	117104	41002	12	8	1.70
создать	117104	41002	12	8	1.70
сердцах	117104	41002	12	8	1.70
формирование	117104	41002	28	15	1.70
проявляет	117104	41002	6	5	1.69
широкое	117104	41002	6	5	1.69
определял	117104	41002	6	5	1.69
взаимодействии	117104	41002	6	5	1.69
эволюционное	117104	41002	6	5	1.69
важных	117104	41002	6	5	1.69
нарушениях	117104	41002	6	5	1.69
споры	117104	41002	6	5	1.69
мышлением	117104	41002	6	5	1.69
единого	117104	41002	6	5	1.69
конечном	117104	41002	6	5	1.69
самостоятельной	117104	41002	6	5	1.69
описание	117104	41002	6	5	1.69
потока	117104	41002	6	5	1.69
изучение	117104	41002	6	5	1.69
[Как	117104	41002	6	5	1.69
называть	117104	41002	6	5	1.69
Примеры	117104	41002	6	5	1.69
свойственно	117104	41002	6	5	1.69
характеристик	117104	41002	6	5	1.69
теориях	117104	41002	6	5	1.69
стараются	117104	41002	6	5	1.69
помещается	117104	41002	6	5	1.69
общему	117104	41002	6	5	1.69
учений	117104	41002	6	5	1.69
правильного	117104	41002	6	5	1.69
христианстве	117104	41002	6	5	1.69
отмечает	117104	41002	6	5	1.69
Является	117104	41002	6	5	1.69
обличает	117104	41002	6	5	1.69
хотя	117104	41002	53	25	1.68
было	117104	41002	79	35	1.68
понимают	117104	41002	10	7	1.67
существовании	117104	41002	10	7	1.67
виды	117104	41002	10	7	1.67
категории	117104	41002	10	7	1.67
вновь	117104	41002	10	7	1.67
говорим	117104	41002	10	7	1.67
апостол	117104	41002	10	7	1.67
очищает	117104	41002	10	7	1.67
поступили	117104	41002	10	7	1.67
уровне	117104	41002	48	23	1.67
каковы	117104	41002	8	6	1.66
возникновение	117104	41002	8	6	1.66
признаки	117104	41002	8	6	1.66
естественное	117104	41002	8	6	1.66
уровней	117104	41002	8	6	1.66
сложных	117104	41002	8	6	1.66
итоге	117104	41002	8	6	1.66
раньше	117104	41002	8	6	1.66
нарушение	117104	41002	8	6	1.66
мацпун	117104	41002	8	6	1.66
укоры	117104	41002	8	6	1.66
которые	117104	41002	188	75	1.65
состоит	117104	41002	56	26	1.64
представления	117104	41002	26	14	1.64
зависит	117104	41002	26	14	1.64
или	117104	41002	669	244	1.63
указывает	117104	41002	31	16	1.62
из	117104	41002	382	143	1.59
мозге	117104	41002	24	13	1.59
словами	117104	41002	24	13	1.59
важно	117104	41002	24	13	1.59
найти	117104	41002	24	13	1.59
возникновения	117104	41002	17	10	1.58
уровни	117104	41002	17	10	1.58
нравственного	117104	41002	29	15	1.57
к	117104	41002	657	237	1.56
проявляется	117104	41002	22	12	1.53
элементов	117104	41002	22	12	1.53
связаны	117104	41002	22	12	1.53
рассматривается	117104	41002	15	9	1.53
физические	117104	41002	15	9	1.53
Существует	117104	41002	15	9	1.53
выделяют	117104	41002	15	9	1.53
голоса	117104	41002	15	9	1.53
от	117104	41002	497	181	1.52
основе	117104	41002	37	18	1.51
факт	117104	41002	27	14	1.51
тех	117104	41002	45	21	1.49
стать	117104	41002	20	11	1.47
силы	117104	41002	20	11	1.47
философия	117104	41002	13	8	1.47
единства	117104	41002	13	8	1.47
(например	117104	41002	13	8	1.47
понятиями	117104	41002	13	8	1.47
нравственное	117104	41002	13	8	1.47
обычно	117104	41002	25	13	1.46
нужна	117104	41002	25	13	1.46
механизм	117104	41002	25	13	1.46
исследования	117104	41002	30	15	1.45
одной	117104	41002	30	15	1.45
действие	117104	41002	30	15	1.45
все	117104	41002	202	77	1.42
Согласно	117104	41002	38	18	1.42
интеллекта	117104	41002	11	7	1.42
психологических	117104	41002	11	7	1.42
обладают	117104	41002	11	7	1.42
Тонони	117104	41002	11	7	1.42
получает	117104	41002	11	7	1.42
меньшей	117104	41002	11	7	1.42
литературе	117104	41002	11	7	1.42
пытаются	117104	41002	11	7	1.42
говорил	117104	41002	11	7	1.42
предметом	117104	41002	18	10	1.41
изучения	117104	41002	18	10	1.41
функций	117104	41002	18	10	1.41
Вселенной	117104	41002	18	10	1.41
первый	117104	41002	18	10	1.41
теорию	117104	41002	18	10	1.41
сразу	117104	41002	18	10	1.41
взгляд	117104	41002	18	10	1.41
понять	117104	41002	46	21	1.41
Есть	117104	41002	28	14	1.40
иметь	117104	41002	23	12	1.40
здесь	117104	41002	23	12	1.40
стороны	117104	41002	49	22	1.38
чем	117104	41002	107	43	1.37
коме	117104	41002	9	6	1.37
происхождения	117104	41002	9	6	1.37
проблеме	117104	41002	9	6	1.37
содержанием	117104	41002	9	6	1.37
сохранить	117104	41002	9	6	1.37
легко	117104	41002	9	6	1.37
начинают	117104	41002	9	6	1.37
сфере	117104	41002	9	6	1.37
развитием	117104	41002	9	6	1.37
очевидно	117104	41002	9	6	1.37
Где	117104	41002	9	6	1.37
учение	117104	41002	9	6	1.37
культурно-исторической	117104	41002	3	3	1.37
включающую	117104	41002	3	3	1.37
физическому	117104	41002	3	3	1.37
Основным	117104	41002	3	3	1.37
сопоставляется	117104	41002	3	3	1.37
опыта»	117104	41002	3	3	1.37
кажутся	117104	41002	3	3	1.37
произвольно	117104	41002	3	3	1.37
Трудная	117104	41002	3	3	1.37
сложность	117104	41002	3	3	1.37
Главные	117104	41002	3	3	1.37
Условно	117104	41002	3	3	1.37
выделение	117104	41002	3	3	1.37
довольно	117104	41002	3	3	1.37
Главным	117104	41002	3	3	1.37
Отсутствие	117104	41002	3	3	1.37
поведенческие	117104	41002	3	3	1.37
на тему	117104	41002	3	3	1.37
Взаимодействие	117104	41002	3	3	1.37
привело	117104	41002	3	3	1.37
достаточный	117104	41002	3	3	1.37
локализации	117104	41002	3	3	1.37
загадочным	117104	41002	3	3	1.37
основанное	117104	41002	3	3	1.37
аспекте	117104	41002	3	3	1.37
пребывают	117104	41002	3	3	1.37
градаций	117104	41002	3	3	1.37
фактами	117104	41002	3	3	1.37
обработку	117104	41002	3	3	1.37
группового	117104	41002	3	3	1.37
компонентами	117104	41002	3	3	1.37
слоя	117104	41002	3	3	1.37
отражательная	117104	41002	3	3	1.37
основной	117104	41002	3	3	1.37
важнейшее	117104	41002	3	3	1.37
определяемые	117104	41002	3	3	1.37
лампа	117104	41002	3	3	1.37
движениями	117104	41002	3	3	1.37
взаимосвязанных	117104	41002	3	3	1.37
элементов —	117104	41002	3	3	1.37
действительное	117104	41002	3	3	1.37
психологического	117104	41002	3	3	1.37
похожи	117104	41002	3	3	1.37
посмотрим	117104	41002	3	3	1.37
верить	117104	41002	3	3	1.37
верна	117104	41002	3	3	1.37
фундаментальным	117104	41002	3	3	1.37
уверен	117104	41002	3	3	1.37
потерял	117104	41002	3	3	1.37
приобретает	117104	41002	3	3	1.37
лежащие	117104	41002	3	3	1.37
выделяются	117104	41002	3	3	1.37
развитое	117104	41002	3	3	1.37
слой	117104	41002	3	3	1.37
участия	117104	41002	3	3	1.37
и свойства	117104	41002	3	3	1.37
глубокое	117104	41002	3	3	1.37
несознательными	117104	41002	3	3	1.37
Дескриптивный	117104	41002	3	3	1.37
Объяснительный	117104	41002	3	3	1.37
доказывали	117104	41002	3	3	1.37
вероятным	117104	41002	3	3	1.37
акцент	117104	41002	3	3	1.37
источнике	117104	41002	3	3	1.37
сыграл	117104	41002	3	3	1.37
[Baars	117104	41002	3	3	1.37
ASSC)	117104	41002	3	3	1.37
конференции	117104	41002	3	3	1.37
[Rosenthal	117104	41002	3	3	1.37
[Carruthers	117104	41002	3	3	1.37
уяснить	117104	41002	3	3	1.37
квалитативное	117104	41002	3	3	1.37
надлежащего	117104	41002	3	3	1.37
1998]	117104	41002	3	3	1.37
называемых	117104	41002	3	3	1.37
1982	117104	41002	3	3	1.37
метаментальное	117104	41002	3	3	1.37
метафизических	117104	41002	3	3	1.37
категорию	117104	41002	3	3	1.37
примером	117104	41002	3	3	1.37
источников	117104	41002	3	3	1.37
анестезиолог	117104	41002	3	3	1.37
доводов	117104	41002	3	3	1.37
древней	117104	41002	3	3	1.37
память) —	117104	41002	3	3	1.37
правом	117104	41002	3	3	1.37
IIT	117104	41002	3	3	1.37
сложно	117104	41002	3	3	1.37
нейрофизиологических	117104	41002	3	3	1.37
приписывается	117104	41002	3	3	1.37
концепцией	117104	41002	3	3	1.37
Многочисленные	117104	41002	3	3	1.37
идеальность	117104	41002	3	3	1.37
явлениям	117104	41002	3	3	1.37
каждым	117104	41002	3	3	1.37
неким	117104	41002	3	3	1.37
сущее	117104	41002	3	3	1.37
утилитарно-ассоциационному	117104	41002	3	3	1.37
отличных	117104	41002	3	3	1.37
долга»	117104	41002	3	3	1.37
жизни»	117104	41002	3	3	1.37
живы	117104	41002	3	3	1.37
владеет	117104	41002	3	3	1.37
Даль	117104	41002	3	3	1.37
помыслы	117104	41002	3	3	1.37
договариваться	117104	41002	3	3	1.37
бьет	117104	41002	3	3	1.37
взрослой	117104	41002	3	3	1.37
открыто	117104	41002	3	3	1.37
Даля	117104	41002	3	3	1.37
выгоде	117104	41002	3	3	1.37
муках	117104	41002	3	3	1.37
занятиям	117104	41002	3	3	1.37
стороне	117104	41002	3	3	1.37
ложной	117104	41002	3	3	1.37
нелегко	117104	41002	3	3	1.37
непреложный	117104	41002	3	3	1.37
указатель	117104	41002	3	3	1.37
живую	117104	41002	3	3	1.37
силлогизмом	117104	41002	3	3	1.37
живущий	117104	41002	3	3	1.37
честь	117104	41002	3	3	1.37
гласом	117104	41002	3	3	1.37
естественного	117104	41002	3	3	1.37
общественная	117104	41002	3	3	1.37
сбросивший	117104	41002	3	3	1.37
разбудить	117104	41002	3	3	1.37
проповеди	117104	41002	3	3	1.37
намерениям	117104	41002	3	3	1.37
порочной	117104	41002	3	3	1.37
“от	117104	41002	3	3	1.37
дел”	117104	41002	3	3	1.37
(Ев	117104	41002	3	3	1.37
чуткости	117104	41002	3	3	1.37
проявлением	117104	41002	3	3	1.37
обнаруживают	117104	41002	3	3	1.37
диктовали	117104	41002	3	3	1.37
требований	117104	41002	3	3	1.37
порокам	117104	41002	3	3	1.37
удовлетворять	117104	41002	3	3	1.37
попирая	117104	41002	3	3	1.37
сжигает	117104	41002	3	3	1.37
примирение	117104	41002	3	3	1.37
авторитету	117104	41002	3	3	1.37
пренебрежение	117104	41002	3	3	1.37
(1Пт	117104	41002	3	3	1.37
личная	117104	41002	3	3	1.37
Святые	117104	41002	3	3	1.37
пробудилась	117104	41002	3	3	1.37
нужна]Если	117104	41002	3	3	1.37
могут	117104	41002	127	50	1.37
нас	117104	41002	133	52	1.36
Если	117104	41002	136	53	1.35
чём	117104	41002	16	9	1.35
такая	117104	41002	16	9	1.35
частности	117104	41002	16	9	1.35
следовательно	117104	41002	16	9	1.35
примеру	117104	41002	16	9	1.35
имеет	117104	41002	88	36	1.35
иной	117104	41002	21	11	1.34
материи	117104	41002	21	11	1.34
играет	117104	41002	21	11	1.34
словаре	117104	41002	7	5	1.33
свойственная	117104	41002	7	5	1.33
единой	117104	41002	7	5	1.33
Выделяют	117104	41002	7	5	1.33
функционирование	117104	41002	7	5	1.33
подсознанием	117104	41002	7	5	1.33
признаком	117104	41002	7	5	1.33
1)	117104	41002	7	5	1.33
зачастую	117104	41002	7	5	1.33
Одним	117104	41002	7	5	1.33
теориями	117104	41002	7	5	1.33
исследование	117104	41002	7	5	1.33
2000]	117104	41002	7	5	1.33
аспекта	117104	41002	7	5	1.33
каузально	117104	41002	7	5	1.33
современном	117104	41002	7	5	1.33
простых	117104	41002	7	5	1.33
корень	117104	41002	7	5	1.33
послании	117104	41002	7	5	1.33
твоя	117104	41002	7	5	1.33
Йешилдал	117104	41002	7	5	1.33
Библия	117104	41002	7	5	1.33
пробудить	117104	41002	7	5	1.33
лукавая	117104	41002	7	5	1.33
степени	117104	41002	50	22	1.32
часто	117104	41002	50	22	1.32
чувств	117104	41002	34	16	1.32
рамки	117104	41002	5	4	1.31
открывается	117104	41002	5	4	1.31
вплоть	117104	41002	5	4	1.31
отрыве	117104	41002	5	4	1.31
Нарушение	117104	41002	5	4	1.31
семь	117104	41002	5	4	1.31
обеспечивающих	117104	41002	5	4	1.31
свойственна	117104	41002	5	4	1.31
акты	117104	41002	5	4	1.31
вывести	117104	41002	5	4	1.31
взрослого	117104	41002	5	4	1.31
рефлексивного	117104	41002	5	4	1.31
потеря	117104	41002	5	4	1.31
каких	117104	41002	5	4	1.31
разнообразных	117104	41002	5	4	1.31
изучению	117104	41002	5	4	1.31
Очевидно	117104	41002	5	4	1.31
квантовые	117104	41002	5	4	1.31
правил	117104	41002	5	4	1.31
Механизм	117104	41002	5	4	1.31
Леонтьева	117104	41002	5	4	1.31
функционировании	117104	41002	5	4	1.31
возникновению	117104	41002	5	4	1.31
взаимосвязи	117104	41002	5	4	1.31
изображения	117104	41002	5	4	1.31
находящиеся	117104	41002	5	4	1.31
конкретные	117104	41002	5	4	1.31
^([9])	117104	41002	5	4	1.31
субъективность	117104	41002	5	4	1.31
заслуживает	117104	41002	5	4	1.31
связанные	117104	41002	5	4	1.31
философию	117104	41002	5	4	1.31
университета	117104	41002	5	4	1.31
ищут	117104	41002	5	4	1.31
аспектами	117104	41002	5	4	1.31
социальную	117104	41002	5	4	1.31
утверждать	117104	41002	5	4	1.31
общего	117104	41002	5	4	1.31
подобным	117104	41002	5	4	1.31
успеха	117104	41002	5	4	1.31
«почему»	117104	41002	5	4	1.31
попытка	117104	41002	5	4	1.31
Кстати	117104	41002	5	4	1.31
моя	117104	41002	5	4	1.31
делали	117104	41002	5	4	1.31
выработки	117104	41002	5	4	1.31
непосредственное	117104	41002	5	4	1.31
долгом	117104	41002	5	4	1.31
законодателя	117104	41002	5	4	1.31
свидетеля	117104	41002	5	4	1.31
(греч	117104	41002	5	4	1.31
божественный	117104	41002	5	4	1.31
«муки	117104	41002	5	4	1.31
Святого	117104	41002	5	4	1.31
вере	117104	41002	5	4	1.31
мертвых	117104	41002	5	4	1.31
попирает	117104	41002	5	4	1.31
гордыни	117104	41002	5	4	1.31
оправдывающие	117104	41002	5	4	1.31
коллективной	117104	41002	5	4	1.31
он	117104	41002	271	96	1.30
работы	117104	41002	29	14	1.30
предполагает	117104	41002	29	14	1.30
начинает	117104	41002	29	14	1.30
воли	117104	41002	29	14	1.30
они	117104	41002	168	63	1.30
избавиться	117104	41002	14	8	1.29
развитие	117104	41002	24	12	1.28
будто	117104	41002	24	12	1.28
собственной	117104	41002	19	10	1.28
Итак	117104	41002	19	10	1.28
вины	117104	41002	40	18	1.27
во	117104	41002	134	51	1.27
реальности	117104	41002	62	26	1.27
она	117104	41002	217	78	1.27
природы	117104	41002	32	15	1.27
возможно	117104	41002	32	15	1.27
который	117104	41002	161	60	1.26
когда	117104	41002	180	66	1.26
собой	117104	41002	88	35	1.25
внутреннее	117104	41002	27	13	1.24
её	117104	41002	71	29	1.24
некоторые	117104	41002	35	16	1.24
Однако	117104	41002	46	20	1.23
нашей	117104	41002	46	20	1.23
собственно	117104	41002	12	7	1.23
реальностью	117104	41002	12	7	1.23
использует	117104	41002	12	7	1.23
описывает	117104	41002	12	7	1.23
появление	117104	41002	12	7	1.23
совокупность	117104	41002	12	7	1.23
операций	117104	41002	12	7	1.23
проходит	117104	41002	12	7	1.23
феномена	117104	41002	12	7	1.23
одним	117104	41002	12	7	1.23
другого	117104	41002	12	7	1.23
мучить	117104	41002	12	7	1.23
проявлений	117104	41002	12	7	1.23
угрызениями	117104	41002	12	7	1.23
из-за	117104	41002	22	11	1.22
процессов	117104	41002	49	21	1.22
мозга	117104	41002	165	60	1.22
ни	117104	41002	98	38	1.21
подход	117104	41002	17	9	1.21
формирования	117104	41002	17	9	1.21
